,Experiment_ID,Genome,tissue
27230,SRX2022928,hg19,embryonic kidney
27231,SRX2022929,hg19,embryonic kidney
27784,SRX2067986,hg19,prostate adenocarcinoma metastaticized to brain
27785,SRX2067987,hg19,prostate adenocarcinoma metastaticized to brain
27786,SRX2067988,hg19,prostate adenocarcinoma metastaticized to brain
27820,SRX209673,hg19,human cortex
27821,SRX2105477,hg19,blood
27822,SRX2105478,hg19,blood
27823,SRX2105479,hg19,blood
27935,SRX212469,hg19,whole blood
27936,SRX212470,hg19,whole blood
28096,SRX2146131,hg19,lncap cells
28097,SRX2146132,hg19,lncap cells
28098,SRX2146133,hg19,lncap cells
28099,SRX2146134,hg19,lncap cells
28100,SRX2146135,hg19,lncap cells
28101,SRX2146136,hg19,lncap cells
28102,SRX2146137,hg19,lncap cells
28103,SRX2146138,hg19,lncap cells
28104,SRX2146139,hg19,lncap cells
28452,SRX2185380,hg19,breast
28453,SRX2185381,hg19,breast
28454,SRX2185382,hg19,breast
28455,SRX2185383,hg19,breast
28591,SRX2203276,hg19,human beta cell line endoc
28592,SRX2203277,hg19,human beta cell line endoc
28593,SRX2203278,hg19,human beta cell line endoc
28641,SRX2213511,hg19,breast
28642,SRX2213512,hg19,breast
28643,SRX2213513,hg19,breast
28644,SRX2213514,hg19,breast
28645,SRX2213515,hg19,breast
28646,SRX2213516,hg19,breast
28647,SRX2213517,hg19,breast
28648,SRX2213518,hg19,breast
28649,SRX2213519,hg19,breast
28650,SRX2213520,hg19,breast
28651,SRX2213521,hg19,breast
28652,SRX2213522,hg19,breast
28653,SRX2213523,hg19,breast
28654,SRX2213524,hg19,breast
28655,SRX2213525,hg19,breast
28656,SRX2213526,hg19,breast
28736,SRX2245525,hg19,bone marrow
28737,SRX2245526,hg19,bone marrow
28738,SRX2245527,hg19,bone marrow
28739,SRX2245528,hg19,bone marrow
28740,SRX2245529,hg19,bone marrow
28741,SRX2245530,hg19,peripheral blood
28742,SRX2245531,hg19,peripheral blood
28743,SRX2245532,hg19,peripheral blood
28744,SRX2245533,hg19,peripheral blood
28745,SRX2245534,hg19,peripheral blood
28749,SRX2245587,hg19,pancreatic ductal adenocarcinoma
28750,SRX2245588,hg19,pancreatic ductal adenocarcinoma
28751,SRX2245589,hg19,pancreatic ductal adenocarcinoma
28875,SRX2266662,hg19,cervix
28876,SRX2266663,hg19,peripheral blood
28877,SRX2266664,hg19,peripheral blood
28878,SRX2266665,hg19,peripheral blood
28879,SRX2266666,hg19,peripheral blood
28880,SRX2266667,hg19,peripheral blood
28881,SRX2266668,hg19,peripheral blood
28882,SRX2266669,hg19,peripheral blood
28883,SRX2267438,hg19,skin
28884,SRX2267439,hg19,skin
28885,SRX2267440,hg19,skin
28886,SRX2267441,hg19,skin
28887,SRX2267442,hg19,lung
28888,SRX2267443,hg19,lung
28889,SRX2267444,hg19,lung
28890,SRX2267445,hg19,lung
28891,SRX2267446,hg19,lung
28892,SRX2267447,hg19,lung
28893,SRX2267448,hg19,lung
28894,SRX2267449,hg19,lung
28895,SRX2267450,hg19,stomach
28896,SRX2267451,hg19,stomach
28897,SRX2267452,hg19,stomach
28898,SRX2267453,hg19,stomach
28899,SRX2267454,hg19,lung
28900,SRX2267455,hg19,lung
28901,SRX2267456,hg19,lung
28902,SRX2267457,hg19,lung
28903,SRX2267458,hg19,lung
28904,SRX2267459,hg19,lung
28905,SRX2267460,hg19,bladder
28906,SRX2267461,hg19,bladder
28907,SRX2267462,hg19,bladder
28908,SRX2267463,hg19,bladder
28909,SRX2267464,hg19,skin
28910,SRX2267465,hg19,skin
28911,SRX2267466,hg19,skin
28912,SRX2267467,hg19,skin
28913,SRX2267468,hg19,lung
28914,SRX2267469,hg19,lung
28915,SRX2267470,hg19,lung
28916,SRX2267471,hg19,lung
28917,SRX2267472,hg19,lung
28918,SRX2267473,hg19,lung
28919,SRX2267474,hg19,lung
28920,SRX2267475,hg19,lung
28921,SRX2267476,hg19,stomach
28922,SRX2267477,hg19,stomach
28923,SRX2267478,hg19,stomach
28924,SRX2267479,hg19,stomach
28925,SRX2267480,hg19,lung
28926,SRX2267481,hg19,lung
28927,SRX2267482,hg19,lung
28928,SRX2267483,hg19,lung
28929,SRX2267484,hg19,lung
28930,SRX2267485,hg19,lung
28931,SRX2267486,hg19,bladder
28932,SRX2267487,hg19,bladder
28933,SRX2267488,hg19,bladder
28934,SRX2267489,hg19,bladder
28935,SRX2267490,hg19,skin
28936,SRX2267491,hg19,lung
28937,SRX2267492,hg19,lung
28938,SRX2267493,hg19,stomach
28939,SRX2267494,hg19,lung
28940,SRX2267495,hg19,bladder
28941,SRX2267496,hg19,skin
28942,SRX2267497,hg19,lung
28943,SRX2267498,hg19,lung
28944,SRX2267499,hg19,stomach
28945,SRX2267500,hg19,lung
28946,SRX2267501,hg19,bladder
28947,SRX2267502,hg19,skin
28948,SRX2267503,hg19,skin
28949,SRX2267504,hg19,lung
28950,SRX2267505,hg19,lung
28951,SRX2267506,hg19,lung
28952,SRX2267507,hg19,lung
28953,SRX2267508,hg19,stomach
28954,SRX2267509,hg19,stomach
28955,SRX2267510,hg19,lung
28956,SRX2267511,hg19,lung
28957,SRX2267512,hg19,bladder
28958,SRX2267513,hg19,bladder
29044,SRX2282119,hg19,human embryonic kidney
29045,SRX2282121,hg19,human embryonic kidney
29078,SRX2319394,hg19,hematopoietic cells
29079,SRX2319395,hg19,hematopoietic cells
29080,SRX2319396,hg19,hematopoietic cells
29081,SRX2319397,hg19,hematopoietic cells
29082,SRX2319398,hg19,hematopoietic cells
29083,SRX2319399,hg19,hematopoietic cells
29084,SRX2319400,hg19,hematopoietic cells
29121,SRX2321727,hg19,posterior fossa ependymoma
29122,SRX2321728,hg19,posterior fossa ependymoma
29123,SRX2321729,hg19,posterior fossa ependymoma
29124,SRX2321730,hg19,supratentorial ependymoma
29125,SRX2321731,hg19,supratentorial ependymoma
29126,SRX2321732,hg19,supratentorial ependymoma
29127,SRX2321733,hg19,posterior fossa ependymoma
29128,SRX2321734,hg19,posterior fossa ependymoma
29129,SRX2321735,hg19,posterior fossa ependymoma
29130,SRX2321736,hg19,supratentorial ependymoma
29131,SRX2321737,hg19,supratentorial ependymoma
29132,SRX2321738,hg19,supratentorial ependymoma
29170,SRX2337837,hg19,natural killer cell
29171,SRX2337838,hg19,natural killer cell
29172,SRX2337839,hg19,natural killer cell
29173,SRX2337840,hg19,natural killer cell
29174,SRX2337841,hg19,natural killer cell
29175,SRX2337842,hg19,natural killer cell
29176,SRX2337843,hg19,natural killer cell
29177,SRX2337844,hg19,natural killer cell
29178,SRX2337845,hg19,natural killer cell
29179,SRX2337846,hg19,natural killer cell
29180,SRX2339190,hg19,tonsil
29181,SRX2339191,hg19,tonsil
29182,SRX2339192,hg19,tonsil
29183,SRX2339193,hg19,tonsil
29184,SRX2339194,hg19,tonsil
29185,SRX2339195,hg19,tonsil
29186,SRX2341963,hg19,epithelioid sarcoma
29187,SRX2341964,hg19,epithelioid sarcoma
29188,SRX2341965,hg19,malignant rhabdoid tumor
29189,SRX2341966,hg19,malignant rhabdoid tumor
29190,SRX2341967,hg19,malignant rhabdoid tumor
29191,SRX2341968,hg19,epithelioid sarcoma
29192,SRX2341969,hg19,epithelioid sarcoma
29193,SRX2341971,hg19,epithelioid sarcoma
29194,SRX2341973,hg19,epithelioid sarcoma
29195,SRX2341974,hg19,malignant rhabdoid tumor
29196,SRX2341975,hg19,epithelioid sarcoma
29197,SRX2341976,hg19,malignant rhabdoid tumor
29198,SRX2341977,hg19,malignant rhabdoid tumor
29199,SRX2341978,hg19,epithelioid sarcoma
29200,SRX2341979,hg19,malignant rhabdoid tumor
29201,SRX2341980,hg19,epithelioid sarcoma
29202,SRX2341982,hg19,epithelioid sarcoma
29203,SRX2341986,hg19,epithelioid sarcoma
29204,SRX2341987,hg19,malignant rhabdoid tumor
29205,SRX2341988,hg19,malignant rhabdoid tumor
29206,SRX2341989,hg19,epithelioid sarcoma
29207,SRX2341990,hg19,epithelioid sarcoma
29208,SRX2341991,hg19,epithelioid sarcoma
29209,SRX2341994,hg19,epithelioid sarcoma
29210,SRX2341995,hg19,epithelioid sarcoma
29211,SRX2341996,hg19,epithelioid sarcoma
29212,SRX2341997,hg19,malignant rhabdoid tumor
29213,SRX2341998,hg19,malignant rhabdoid tumor
29214,SRX2341999,hg19,epithelioid sarcoma
29215,SRX2342000,hg19,malignant rhabdoid tumor
29216,SRX2342001,hg19,malignant rhabdoid tumor
29217,SRX2342002,hg19,malignant rhabdoid tumor
29218,SRX2342003,hg19,epithelioid sarcoma
29219,SRX2342005,hg19,epithelioid sarcoma
29220,SRX2342006,hg19,malignant rhabdoid tumor
29221,SRX2342007,hg19,epithelioid sarcoma
29222,SRX2342008,hg19,malignant rhabdoid tumor
29223,SRX2342009,hg19,epithelioid sarcoma
29224,SRX2342010,hg19,malignant rhabdoid tumor
29225,SRX2342011,hg19,malignant rhabdoid tumor
29226,SRX2342012,hg19,malignant rhabdoid tumor
29227,SRX2342013,hg19,malignant rhabdoid tumor
29228,SRX2342014,hg19,malignant rhabdoid tumor
29229,SRX2342016,hg19,malignant rhabdoid tumor
29230,SRX2342018,hg19,epithelioid sarcoma
29231,SRX2342019,hg19,epithelioid sarcoma
29232,SRX2342020,hg19,malignant rhabdoid tumor
29233,SRX2343922,hg19,large pulmonary artery endothelial cells
29234,SRX2343923,hg19,large pulmonary artery endothelial cells
29235,SRX2343924,hg19,large pulmonary artery endothelial cells
29236,SRX2343925,hg19,large pulmonary artery endothelial cells
29237,SRX2343926,hg19,large pulmonary artery endothelial cells
29238,SRX2343927,hg19,large pulmonary artery endothelial cells
29239,SRX2343928,hg19,large pulmonary artery endothelial cells
29240,SRX2343929,hg19,large pulmonary artery endothelial cells
29241,SRX2343930,hg19,large pulmonary artery endothelial cells
29242,SRX2343931,hg19,large pulmonary artery endothelial cells
29243,SRX2343932,hg19,large pulmonary artery endothelial cells
29244,SRX2343933,hg19,large pulmonary artery endothelial cells
29245,SRX2343934,hg19,large pulmonary artery endothelial cells
29246,SRX2343935,hg19,large pulmonary artery endothelial cells
29247,SRX2343936,hg19,large pulmonary artery endothelial cells
29248,SRX2343937,hg19,large pulmonary artery endothelial cells
29249,SRX2343938,hg19,large pulmonary artery endothelial cells
29250,SRX2343939,hg19,large pulmonary artery endothelial cells
29251,SRX2343940,hg19,large pulmonary artery endothelial cells
29252,SRX2343941,hg19,large pulmonary artery endothelial cells
29272,SRX2350667,hg19,malignant rhabdoid tumor
29273,SRX2350669,hg19,malignant rhabdoid tumor
29333,SRX236112,hg19,hematopoietic
29334,SRX236113,hg19,hematopoietic
29335,SRX236114,hg19,hematopoietic
29336,SRX236115,hg19,hematopoietic
29337,SRX236116,hg19,hematopoietic
29338,SRX236117,hg19,hematopoietic
29339,SRX236118,hg19,hematopoietic
29395,SRX2370575,hg19,caudate nucleus
29404,SRX2370584,hg19,kidney
29408,SRX2370588,hg19,left kidney
29409,SRX2370589,hg19,left kidney
29410,SRX2370590,hg19,stomach
29411,SRX2370591,hg19,stomach
29417,SRX2370597,hg19,eye
29425,SRX2370605,hg19,thyroid gland
29426,SRX2370606,hg19,thyroid gland
29430,SRX2370610,hg19,medulla oblongata
29431,SRX2370611,hg19,medulla oblongata
29432,SRX2370612,hg19,right lobe of liver
29434,SRX2370614,hg19,adrenal gland
29437,SRX2370617,hg19,gastrocnemius medialis
29438,SRX2370618,hg19,body of pancreas
29439,SRX2370619,hg19,body of pancreas
29440,SRX2370620,hg19,uterus
29453,SRX2370633,hg19,middle frontal gyrus
29454,SRX2370634,hg19,middle frontal gyrus
29473,SRX2370658,hg19,embryonic facial prominence
29474,SRX2370659,hg19,embryonic facial prominence
29478,SRX2370666,hg19,superior temporal gyrus
29479,SRX2370667,hg19,prostate gland
29484,SRX2370672,hg19,testis
29485,SRX2370673,hg19,brain
29486,SRX2370674,hg19,brain
29489,SRX2370677,hg19,placenta
29490,SRX2370678,hg19,heart left ventricle
29491,SRX2370679,hg19,heart left ventricle
29495,SRX2370683,hg19,body of pancreas
29497,SRX2370685,hg19,putamen
29498,SRX2370686,hg19,umbilical cord
29499,SRX2370687,hg19,limb
29500,SRX2370688,hg19,limb
29510,SRX2370698,hg19,tongue
29512,SRX2370700,hg19,placenta
29513,SRX2370701,hg19,placenta
29515,SRX2370703,hg19,lung
29516,SRX2370704,hg19,lung
29517,SRX2370705,hg19,esophagus squamous epithelium
29520,SRX2370708,hg19,sigmoid colon
29532,SRX2370720,hg19,brain
29533,SRX2370721,hg19,brain
29541,SRX2370729,hg19,heart
29542,SRX2370730,hg19,heart
29548,SRX2370745,hg19,midbrain
29549,SRX2370746,hg19,midbrain
29553,SRX2370750,hg19,heart
29554,SRX2370751,hg19,heart
29559,SRX2370756,hg19,tongue
29560,SRX2370757,hg19,tongue
29561,SRX2370758,hg19,right kidney
29562,SRX2370759,hg19,eye
29563,SRX2370760,hg19,eye
29564,SRX2370761,hg19,globus pallidus
29565,SRX2370762,hg19,globus pallidus
29566,SRX2370763,hg19,transverse colon
29567,SRX2370764,hg19,heart
29569,SRX2370766,hg19,urinary bladder
29575,SRX2370772,hg19,heart
29576,SRX2370773,hg19,heart
29579,SRX2370776,hg19,limb
29580,SRX2370777,hg19,limb
29582,SRX2370779,hg19,retina
29586,SRX2370783,hg19,pons
29589,SRX2370790,hg19,adrenal gland
29590,SRX2370791,hg19,occipital lobe
29591,SRX2370792,hg19,embryonic facial prominence
29592,SRX2370793,hg19,adrenal gland
29595,SRX2370796,hg19,thyroid gland
29596,SRX2370797,hg19,thyroid gland
29597,SRX2370798,hg19,sigmoid colon
29598,SRX2370801,hg19,spinal cord
29599,SRX2370802,hg19,spinal cord
29601,SRX2370804,hg19,ovary
29620,SRX2370823,hg19,inferior parietal cortex
29711,SRX2380901,hg19,peripheral blood
29712,SRX2380902,hg19,peripheral blood
29713,SRX2380903,hg19,peripheral blood
29714,SRX2380904,hg19,peripheral blood
29715,SRX2380905,hg19,peripheral blood
29716,SRX2380906,hg19,peripheral blood
29795,SRX2390408,hg19,embryo
29796,SRX2390409,hg19,embryo
29797,SRX2390410,hg19,embryo
29798,SRX2390415,hg19,embryo
29799,SRX2390416,hg19,embryo
29800,SRX2390418,hg19,embryo
29801,SRX2390419,hg19,embryo
29802,SRX2390420,hg19,embryo
29803,SRX2390421,hg19,embryo
29804,SRX2390424,hg19,embryo
29805,SRX2390425,hg19,embryo
29806,SRX2390429,hg19,embryo
29838,SRX2403333,hg19,not applicable
29839,SRX2403335,hg19,not applicable
29840,SRX2403337,hg19,not applicable
29841,SRX2403338,hg19,not applicable
29842,SRX2403339,hg19,not applicable
29843,SRX2403340,hg19,not applicable
29844,SRX2403341,hg19,not applicable
29845,SRX2403342,hg19,not applicable
29846,SRX2403344,hg19,not applicable
29847,SRX2403345,hg19,not applicable
30418,SRX2420049,hg19,liver
30419,SRX2420050,hg19,liver
30420,SRX2420051,hg19,liver
30421,SRX2420052,hg19,liver
30422,SRX2420053,hg19,liver
30423,SRX2420054,hg19,liver
31714,SRX2464015,hg19,peripheral blood
31715,SRX2464016,hg19,peripheral blood
31716,SRX2464017,hg19,peripheral blood
31717,SRX2464018,hg19,peripheral blood
31748,SRX2481499,hg19,peripheral blood
31749,SRX2481500,hg19,peripheral blood
31750,SRX2481501,hg19,peripheral blood
31751,SRX2481502,hg19,peripheral blood
31782,SRX2488430,hg19,liver
31783,SRX2488431,hg19,liver
31833,SRX2510799,hg19,adherent hela cells
31834,SRX2510800,hg19,adherent hela cells
31835,SRX2510801,hg19,adherent hela cells
31836,SRX2510802,hg19,adherent hela cells
31837,SRX2510803,hg19,adherent hela cells
31838,SRX2510804,hg19,adherent hela cells
31839,SRX2510805,hg19,adherent hela cells
31840,SRX2510806,hg19,adherent hela cells
31841,SRX2510807,hg19,adherent hela cells
31842,SRX2510808,hg19,adherent hela cells
31843,SRX2510809,hg19,adherent hela cells
31844,SRX2510810,hg19,adherent hela cells
31845,SRX2510811,hg19,adherent hela cells
31846,SRX2510812,hg19,adherent hela cells
31847,SRX2510813,hg19,adherent hela cells
31848,SRX2510814,hg19,adherent hela cells
31849,SRX2510815,hg19,adherent hela cells
31850,SRX2510816,hg19,adherent hela cells
31851,SRX2510817,hg19,adherent hela cells
31852,SRX2510818,hg19,adherent hela cells
31853,SRX2510819,hg19,adherent hela cells
31854,SRX2510820,hg19,adherent hela cells
31855,SRX2510821,hg19,adherent hela cells
31856,SRX2510822,hg19,adherent hela cells
31857,SRX2510823,hg19,adherent hela cells
31858,SRX2510824,hg19,adherent hela cells
31859,SRX2510825,hg19,adherent hela cells
31860,SRX2510826,hg19,adherent hela cells
31861,SRX2510827,hg19,adherent hela cells
31862,SRX2510828,hg19,adherent hela cells
31863,SRX2510829,hg19,adherent hela cells
31864,SRX2510830,hg19,adherent hela cells
31865,SRX2510831,hg19,adherent hela cells
31866,SRX2510832,hg19,suspension hela cells
31867,SRX2510833,hg19,suspension hela cells
31868,SRX2510834,hg19,suspension hela cells
32130,SRX2513052,hg19,blood
32131,SRX2513053,hg19,blood
32132,SRX2513054,hg19,kidney
32133,SRX2513055,hg19,kidney
32136,SRX2513497,hg19,mammary gland
32137,SRX2513498,hg19,mammary gland
32138,SRX2513499,hg19,mammary gland
32139,SRX2513500,hg19,mammary gland
32140,SRX2513501,hg19,mammary gland
32141,SRX2513502,hg19,mammary gland
32142,SRX2513503,hg19,mammary gland
32143,SRX2513504,hg19,mammary gland
32144,SRX2513505,hg19,mammary gland
32145,SRX2513506,hg19,mammary gland
32146,SRX2513507,hg19,mammary gland
32147,SRX2513508,hg19,mammary gland
32148,SRX2513509,hg19,mammary gland
32149,SRX2513510,hg19,mammary gland
32150,SRX2513511,hg19,mammary gland
32151,SRX2513512,hg19,mammary gland
32152,SRX2513513,hg19,mammary gland
32153,SRX2513514,hg19,mammary gland
32154,SRX2513515,hg19,mammary gland
32155,SRX2513516,hg19,mammary gland
32156,SRX2513517,hg19,mammary gland
32157,SRX2513518,hg19,mammary gland
32158,SRX2513519,hg19,mammary gland
32159,SRX2513520,hg19,mammary gland
32160,SRX2513521,hg19,mammary gland
32161,SRX2513522,hg19,mammary gland
32162,SRX2513523,hg19,mammary gland
32163,SRX2513524,hg19,mammary gland
32164,SRX2513525,hg19,mammary gland
32165,SRX2514244,hg19,endometrioid adenocarcinoma
32166,SRX2514245,hg19,endometrioid adenocarcinoma
32167,SRX2514246,hg19,endometrioid adenocarcinoma
32168,SRX2514247,hg19,endometrioid adenocarcinoma
32169,SRX2514248,hg19,endometrioid adenocarcinoma
32170,SRX2514249,hg19,endometrioid adenocarcinoma
32171,SRX2514250,hg19,endometrioid adenocarcinoma
32172,SRX2514251,hg19,endometrioid adenocarcinoma
32173,SRX2514252,hg19,endometrioid adenocarcinoma
32174,SRX2514253,hg19,endometrioid adenocarcinoma
32175,SRX2514254,hg19,endometrioid adenocarcinoma
32176,SRX2514255,hg19,endometrioid adenocarcinoma
32177,SRX2514256,hg19,endometrioid adenocarcinoma
32178,SRX2514257,hg19,endometrioid adenocarcinoma
32179,SRX2514258,hg19,endometrioid adenocarcinoma
32180,SRX2514259,hg19,endometrioid adenocarcinoma
32181,SRX2514260,hg19,endometrioid adenocarcinoma
32182,SRX2514261,hg19,endometrioid adenocarcinoma
32183,SRX2514262,hg19,endometrioid adenocarcinoma
32184,SRX2514263,hg19,endometrioid adenocarcinoma
32185,SRX2514264,hg19,endometrioid adenocarcinoma
32186,SRX2514265,hg19,endometrioid adenocarcinoma
32187,SRX2514266,hg19,endometrioid adenocarcinoma
32188,SRX2514267,hg19,endometrioid adenocarcinoma
32390,SRX2538083,hg19,kidney
32391,SRX2538084,hg19,kidney
32464,SRX2543990,hg19,pulmonary artery
32465,SRX2543991,hg19,pulmonary artery
32466,SRX2543992,hg19,pulmonary artery
32467,SRX2543993,hg19,pulmonary artery
32468,SRX2543994,hg19,pulmonary artery
32469,SRX2543995,hg19,pulmonary artery
32470,SRX2543996,hg19,pulmonary artery
32471,SRX2543997,hg19,pulmonary artery
32472,SRX2543998,hg19,pulmonary artery
32473,SRX2543999,hg19,pulmonary artery
32474,SRX2544000,hg19,pulmonary artery
32475,SRX2544001,hg19,pulmonary artery
32476,SRX2544002,hg19,pulmonary artery
32477,SRX2544003,hg19,pulmonary artery
32478,SRX2544004,hg19,pulmonary artery
32479,SRX2544005,hg19,pulmonary artery
32480,SRX2544006,hg19,pulmonary artery
32481,SRX2544007,hg19,pulmonary artery
32482,SRX2544008,hg19,pulmonary artery
32483,SRX2544009,hg19,pulmonary artery
32484,SRX2544010,hg19,pulmonary artery
32485,SRX2544011,hg19,pulmonary artery
32486,SRX2544012,hg19,pulmonary artery
32487,SRX2544013,hg19,pulmonary artery
32488,SRX2544014,hg19,pulmonary artery
32489,SRX2544015,hg19,pulmonary artery
32490,SRX2544016,hg19,pulmonary artery
32491,SRX2544017,hg19,pulmonary artery
32492,SRX2544018,hg19,pulmonary artery
32493,SRX2544019,hg19,pulmonary artery
32494,SRX2544020,hg19,pulmonary artery
32495,SRX2544021,hg19,pulmonary artery
32496,SRX2544022,hg19,pulmonary artery
32497,SRX2544023,hg19,pulmonary artery
32498,SRX2544024,hg19,pulmonary artery
32499,SRX2544025,hg19,pulmonary artery
32500,SRX2544026,hg19,pulmonary artery
32501,SRX2544027,hg19,pulmonary artery
32502,SRX2544028,hg19,pulmonary artery
32503,SRX2544029,hg19,pulmonary artery
32619,SRX2553920,hg19,breast
32620,SRX2553921,hg19,breast
32621,SRX2553922,hg19,breast
32622,SRX2553923,hg19,breast
32623,SRX2553924,hg19,breast
32624,SRX2553925,hg19,breast
32625,SRX2553926,hg19,breast
32626,SRX2553927,hg19,breast
32627,SRX2553928,hg19,breast
32628,SRX2553929,hg19,breast
32629,SRX2553930,hg19,breast
32630,SRX2553931,hg19,breast
32631,SRX2553932,hg19,breast
32632,SRX2553933,hg19,breast
32633,SRX2553934,hg19,breast
32634,SRX2553935,hg19,breast
32635,SRX2553936,hg19,breast
32636,SRX2553937,hg19,breast
32637,SRX2553938,hg19,breast
32638,SRX2553939,hg19,breast
32822,SRX2582737,hg19,glioblastoma
32846,SRX2588607,hg19,hematopoietic cells
32847,SRX2588608,hg19,hematopoietic cells
32848,SRX2588609,hg19,hematopoietic cells
32849,SRX2588610,hg19,hematopoietic cells
32850,SRX2588611,hg19,hematopoietic cells
32851,SRX2588612,hg19,hematopoietic cells
32852,SRX2588613,hg19,hematopoietic cells
32853,SRX2588614,hg19,hematopoietic cells
32986,SRX2606560,hg19,skin
32987,SRX2606561,hg19,skin
32988,SRX2606562,hg19,skin
32989,SRX2606563,hg19,skin
32990,SRX2606564,hg19,skin
32991,SRX2606565,hg19,skin
32992,SRX2606566,hg19,skin
32993,SRX2606567,hg19,skin
32994,SRX2606568,hg19,skin
32995,SRX2606569,hg19,skin
32996,SRX2606570,hg19,skin
32997,SRX2606571,hg19,skin
32998,SRX2606572,hg19,skin
32999,SRX2606573,hg19,skin
33000,SRX2606574,hg19,skin
33001,SRX2606575,hg19,skin
33002,SRX2606576,hg19,skin
33003,SRX2606577,hg19,skin
33099,SRX2627793,hg19,cervix
33100,SRX2627814,hg19,cervix
33123,SRX2628143,hg19,human mesenchymal stem cells
33124,SRX2628144,hg19,human mesenchymal stem cells
33176,SRX2630137,hg19,liver
33177,SRX2630138,hg19,liver
33180,SRX2630141,hg19,adrenal gland
33181,SRX2630142,hg19,adrenal gland
33238,SRX2630199,hg19,body of pancreas
33241,SRX2630202,hg19,gastrocnemius medialis
33242,SRX2630203,hg19,gastrocnemius medialis
33256,SRX2630217,hg19,coronary artery
33307,SRX2630268,hg19,gastrocnemius medialis
33308,SRX2630269,hg19,gastrocnemius medialis
33316,SRX2630277,hg19,thoracic aorta
33317,SRX2630278,hg19,thoracic aorta
33322,SRX2630283,hg19,thyroid gland
33325,SRX2630286,hg19,liver
33326,SRX2630287,hg19,liver
33328,SRX2630289,hg19,gastroesophageal sphincter
33349,SRX2630310,hg19,adrenal gland
33350,SRX2630311,hg19,adrenal gland
33357,SRX2630318,hg19,liver
33358,SRX2630319,hg19,liver
33366,SRX2630327,hg19,thyroid gland
33367,SRX2630328,hg19,thyroid gland
33368,SRX2630329,hg19,thyroid gland
33369,SRX2630330,hg19,thyroid gland
33379,SRX2630340,hg19,gastrocnemius medialis
33380,SRX2630341,hg19,gastrocnemius medialis
33381,SRX2630342,hg19,gastrocnemius medialis
33382,SRX2630343,hg19,gastrocnemius medialis
33385,SRX2630346,hg19,thyroid gland
33386,SRX2630347,hg19,thyroid gland
33397,SRX2630358,hg19,liver
33398,SRX2630359,hg19,liver
33399,SRX2630360,hg19,liver
33400,SRX2630361,hg19,liver
33412,SRX2630373,hg19,breast epithelium
33422,SRX2630383,hg19,vagina
33423,SRX2630384,hg19,vagina
33429,SRX2630390,hg19,thoracic aorta
33440,SRX2630401,hg19,thyroid gland
33441,SRX2630402,hg19,thyroid gland
33452,SRX2630413,hg19,right lobe of liver
33496,SRX2630457,hg19,gastrocnemius medialis
33497,SRX2630458,hg19,thoracic aorta
33498,SRX2630459,hg19,thoracic aorta
33501,SRX2630462,hg19,liver
33502,SRX2630463,hg19,liver
33511,SRX2630472,hg19,liver
33512,SRX2630739,hg19,cervix
33605,SRX263384,hg19,whole brain
33606,SRX263385,hg19,cerebellum
33631,SRX2635806,hg19,liver
33632,SRX2635807,hg19,liver
33641,SRX2635816,hg19,right lobe of liver
33642,SRX2635817,hg19,right lobe of liver
33646,SRX2635821,hg19,liver
33647,SRX2635822,hg19,liver
33650,SRX2635825,hg19,liver
33651,SRX2635826,hg19,liver
33674,SRX2635849,hg19,coronary artery
33675,SRX2635850,hg19,coronary artery
33678,SRX2635853,hg19,thoracic aorta
33679,SRX2635854,hg19,thoracic aorta
33694,SRX2635870,hg19,adrenal gland
33695,SRX2635871,hg19,adrenal gland
33701,SRX2635877,hg19,liver
33702,SRX2635878,hg19,liver
33726,SRX2635902,hg19,liver
33727,SRX2635903,hg19,liver
33732,SRX2635908,hg19,esophagus muscularis mucosa
33733,SRX2635909,hg19,esophagus muscularis mucosa
33742,SRX2635918,hg19,liver
33749,SRX2635925,hg19,heart left ventricle
33750,SRX2635926,hg19,heart left ventricle
33757,SRX2635933,hg19,esophagus squamous epithelium
33758,SRX2635934,hg19,esophagus squamous epithelium
33761,SRX2635937,hg19,gastroesophageal sphincter
33762,SRX2635938,hg19,gastroesophageal sphincter
33774,SRX2635951,hg19,liver
33775,SRX2635952,hg19,liver
33778,SRX2635955,hg19,liver
33779,SRX2635956,hg19,liver
33786,SRX2635963,hg19,body of pancreas
33787,SRX2635964,hg19,body of pancreas
33788,SRX2635965,hg19,body of pancreas
33789,SRX2635966,hg19,gastrocnemius medialis
33790,SRX2635967,hg19,gastrocnemius medialis
33791,SRX2635968,hg19,gastrocnemius medialis
33792,SRX2635969,hg19,gastrocnemius medialis
33800,SRX2635977,hg19,breast epithelium
33801,SRX2635978,hg19,breast epithelium
33802,SRX2635979,hg19,liver
33803,SRX2635980,hg19,liver
33807,SRX2635984,hg19,heart left ventricle
33808,SRX2635985,hg19,heart left ventricle
33809,SRX2635986,hg19,gastrocnemius medialis
33810,SRX2635987,hg19,gastrocnemius medialis
33815,SRX2635992,hg19,body of pancreas
33816,SRX2635993,hg19,body of pancreas
33831,SRX2636008,hg19,liver
33832,SRX2636009,hg19,liver
33897,SRX2636074,hg19,thyroid gland
33898,SRX2636075,hg19,thyroid gland
33899,SRX2636076,hg19,esophagus muscularis mucosa
33900,SRX2636077,hg19,esophagus muscularis mucosa
33901,SRX2636078,hg19,esophagus muscularis mucosa
33906,SRX2636083,hg19,liver
33907,SRX2636084,hg19,liver
