,Experiment_ID,Genome,cell line
26458,SRX1998003,hg19,mb361
26459,SRX1998004,hg19,mb361
26460,SRX1998005,hg19,mb361
26461,SRX1998006,hg19,mb361
26462,SRX1998007,hg19,mb361
26463,SRX1998008,hg19,mb361
26464,SRX1998009,hg19,mb361
26465,SRX1998010,hg19,mb361
26466,SRX1998011,hg19,mb361
26467,SRX1998012,hg19,mb361
26468,SRX1998013,hg19,mb361
26469,SRX1998014,hg19,mb361
26470,SRX1998015,hg19,mb361
26471,SRX1998016,hg19,mb361
26472,SRX1998017,hg19,mb361
26473,SRX1998019,hg19,mb361
26474,SRX1998020,hg19,mb361
26475,SRX1998021,hg19,mb361
26476,SRX1998022,hg19,uacc812
26477,SRX1998023,hg19,uacc812
26478,SRX1998024,hg19,uacc812
26479,SRX1998025,hg19,uacc812
26480,SRX1998026,hg19,uacc812
26481,SRX1998027,hg19,uacc812
26482,SRX1998028,hg19,uacc812
26483,SRX1998029,hg19,uacc812
26484,SRX1998030,hg19,uacc812
26485,SRX1998031,hg19,uacc812
26486,SRX1998032,hg19,uacc812
26487,SRX1998033,hg19,uacc812
26488,SRX1998034,hg19,uacc812
26489,SRX1998035,hg19,uacc812
26490,SRX1998036,hg19,uacc812
26491,SRX1998037,hg19,uacc812
26492,SRX1998038,hg19,uacc812
26493,SRX1998039,hg19,uacc812
26494,SRX1998040,hg19,skbr3
26495,SRX1998041,hg19,skbr3
26496,SRX1998042,hg19,skbr3
26497,SRX1998043,hg19,skbr3
26498,SRX1998044,hg19,skbr3
26499,SRX1998045,hg19,skbr3
26500,SRX1998046,hg19,skbr3
26501,SRX1998047,hg19,skbr3
26502,SRX1998048,hg19,skbr3
26503,SRX1998049,hg19,skbr3
26504,SRX1998050,hg19,skbr3
26505,SRX1998051,hg19,skbr3
26506,SRX1998052,hg19,skbr3
26507,SRX1998053,hg19,skbr3
26508,SRX1998054,hg19,skbr3
26509,SRX1998055,hg19,skbr3
26510,SRX1998056,hg19,skbr3
26511,SRX1998057,hg19,skbr3
26512,SRX1998058,hg19,au565
26513,SRX1998059,hg19,au565
26514,SRX1998060,hg19,au565
26515,SRX1998061,hg19,au565
26516,SRX1998062,hg19,au565
26517,SRX1998063,hg19,au565
26518,SRX1998064,hg19,au565
26519,SRX1998065,hg19,au565
26520,SRX1998066,hg19,au565
26521,SRX1998067,hg19,au565
26522,SRX1998068,hg19,au565
26523,SRX1998069,hg19,au565
26524,SRX1998070,hg19,au565
26525,SRX1998071,hg19,au565
26526,SRX1998072,hg19,au565
26527,SRX1998073,hg19,au565
26528,SRX1998074,hg19,au565
26529,SRX1998075,hg19,au565
26530,SRX1998076,hg19,hcc1954
26531,SRX1998077,hg19,hcc1954
26532,SRX1998078,hg19,hcc1954
26533,SRX1998079,hg19,hcc1954
26534,SRX1998080,hg19,hcc1954
26535,SRX1998081,hg19,hcc1954
26536,SRX1998082,hg19,hcc1954
26537,SRX1998083,hg19,hcc1954
26538,SRX1998084,hg19,hcc1954
26539,SRX1998085,hg19,hcc1954
26540,SRX1998086,hg19,hcc1954
26541,SRX1998087,hg19,hcc1954
26542,SRX1998088,hg19,hcc1954
26543,SRX1998089,hg19,hcc1954
26544,SRX1998090,hg19,hcc1954
26545,SRX1998091,hg19,hcc1954
26546,SRX1998092,hg19,hcc1954
26547,SRX1998093,hg19,hcc1954
26548,SRX1998094,hg19,mb231
26549,SRX1998095,hg19,mb231
26550,SRX1998096,hg19,mb231
26551,SRX1998097,hg19,mb231
26552,SRX1998098,hg19,mb231
26553,SRX1998099,hg19,mb231
26554,SRX1998100,hg19,mb231
26555,SRX1998101,hg19,mb231
26556,SRX1998102,hg19,mb231
26557,SRX1998103,hg19,mb231
26558,SRX1998104,hg19,mb231
26559,SRX1998105,hg19,mb231
26560,SRX1998106,hg19,mb231
26561,SRX1998107,hg19,mb231
26562,SRX1998108,hg19,mb231
26563,SRX1998109,hg19,mb231
26564,SRX1998110,hg19,mb231
26565,SRX1998111,hg19,mb231
26566,SRX1998112,hg19,mb436
26567,SRX1998113,hg19,mb436
26568,SRX1998114,hg19,mb436
26569,SRX1998115,hg19,mb436
26570,SRX1998116,hg19,mb436
26571,SRX1998117,hg19,mb436
26572,SRX1998118,hg19,mb436
26573,SRX1998119,hg19,mb436
26574,SRX1998120,hg19,mb436
26575,SRX1998121,hg19,mb436
26576,SRX1998122,hg19,mb436
26577,SRX1998123,hg19,mb436
26578,SRX1998124,hg19,mb436
26579,SRX1998125,hg19,mb436
26580,SRX1998126,hg19,mb436
26581,SRX1998127,hg19,mb436
26582,SRX1998128,hg19,mb436
26583,SRX1998129,hg19,mb436
26584,SRX1998130,hg19,mb468
26585,SRX1998131,hg19,mb468
26586,SRX1998132,hg19,mb468
26587,SRX1998133,hg19,mb468
26588,SRX1998134,hg19,mb468
26589,SRX1998135,hg19,mb468
26590,SRX1998136,hg19,mb468
26591,SRX1998137,hg19,mb468
26592,SRX1998138,hg19,mb468
26593,SRX1998139,hg19,mb468
26594,SRX1998140,hg19,mb468
26595,SRX1998141,hg19,mb468
26596,SRX1998142,hg19,mb468
26597,SRX1998143,hg19,mb468
26598,SRX1998144,hg19,mb468
26599,SRX1998145,hg19,mb468
26600,SRX1998146,hg19,mb468
26601,SRX1998147,hg19,mb468
26602,SRX1998148,hg19,hcc1937
26603,SRX1998149,hg19,hcc1937
26604,SRX1998150,hg19,hcc1937
26605,SRX1998151,hg19,hcc1937
26606,SRX1998152,hg19,hcc1937
26607,SRX1998153,hg19,hcc1937
26608,SRX1998154,hg19,hcc1937
26609,SRX1998155,hg19,hcc1937
26610,SRX1998156,hg19,hcc1937
26611,SRX1998157,hg19,hcc1937
26612,SRX1998158,hg19,hcc1937
26613,SRX1998159,hg19,hcc1937
26614,SRX1998160,hg19,hcc1937
26615,SRX1998161,hg19,hcc1937
26616,SRX1998162,hg19,hcc1937
26617,SRX1998163,hg19,hcc1937
26618,SRX1998164,hg19,hcc1937
26619,SRX1998165,hg19,hcc1937
26620,SRX1998166,hg19,76nf2v
26621,SRX1998167,hg19,76nf2v
26622,SRX1998168,hg19,76nf2v
26623,SRX1998169,hg19,au565
26624,SRX1998170,hg19,au565
26625,SRX1998171,hg19,au565
26626,SRX1998172,hg19,hcc1937
26627,SRX1998173,hg19,hcc1937
26628,SRX1998174,hg19,hcc1937
26629,SRX1998175,hg19,hcc1954
26630,SRX1998176,hg19,hcc1954
26631,SRX1998177,hg19,hcc1954
26632,SRX1998178,hg19,mb231
26633,SRX1998179,hg19,mb231
26634,SRX1998180,hg19,mb231
26635,SRX1998181,hg19,mb361
26636,SRX1998182,hg19,mb361
26637,SRX1998183,hg19,mb361
26638,SRX1998184,hg19,mb436
26639,SRX1998185,hg19,mb436
26640,SRX1998186,hg19,mb436
26641,SRX1998187,hg19,mb468
26642,SRX1998188,hg19,mb468
26643,SRX1998189,hg19,mb468
26644,SRX1998190,hg19,mcf10a
26645,SRX1998191,hg19,mcf10a
26646,SRX1998192,hg19,mcf10a
26647,SRX1998193,hg19,mcf7
26648,SRX1998194,hg19,mcf7
26649,SRX1998195,hg19,mcf7
26650,SRX1998196,hg19,skbr3
26651,SRX1998197,hg19,skbr3
26652,SRX1998198,hg19,skbr3
26653,SRX1998199,hg19,uacc812
26654,SRX1998200,hg19,uacc812
26655,SRX1998201,hg19,uacc812
26656,SRX1998202,hg19,zr751
26657,SRX1998203,hg19,zr751
26658,SRX1998204,hg19,zr751
26746,SRX2000339,hg19,mcf12a
26747,SRX2000340,hg19,mcf12a
26748,SRX2000341,hg19,mcf12a
26749,SRX2000342,hg19,mcf12a
26750,SRX2000343,hg19,mcf12a
26751,SRX2000344,hg19,mcf12a
26752,SRX200036,hg19,hgfdfn168
26753,SRX200037,hg19,hgfdfn168
26754,SRX200038,hg19,hgfdfn168
26755,SRX200039,hg19,hgfdfn168
26756,SRX200040,hg19,ag08470
26757,SRX200041,hg19,ag08470
26758,SRX200042,hg19,hgadfn167
26759,SRX200043,hg19,hgadfn167
26760,SRX200044,hg19,hgadfn167
26761,SRX200045,hg19,hgadfn167
26762,SRX200046,hg19,hgfdfn168
26763,SRX200047,hg19,hgfdfn168
26764,SRX200048,hg19,hgfdfn168
26765,SRX200049,hg19,hgfdfn168
26766,SRX200050,hg19,hgadfn167
26767,SRX200051,hg19,hgadfn167
26768,SRX200052,hg19,hgadfn167
26769,SRX200053,hg19,hgadfn167
26979,SRX2010835,hg19,hbe cells
26980,SRX2010836,hg19,hbe cells
26981,SRX2010837,hg19,hbe cells
26982,SRX2010838,hg19,hbe cells
26983,SRX2010839,hg19,hbe cells
26984,SRX2010840,hg19,hbe cells
26990,SRX2011490,hg19,kelly
26991,SRX2011491,hg19,kelly
26992,SRX2011492,hg19,kelly
26993,SRX2011493,hg19,kelly
27075,SRX2014504,hg19,jurkat
27076,SRX2014505,hg19,jurkat
27077,SRX2014506,hg19,jurkat
27078,SRX2014508,hg19,jurkat
27079,SRX2014510,hg19,jurkat
27101,SRX2017926,hg19,lncap
27102,SRX2017927,hg19,lncap
27103,SRX2017928,hg19,lncap
27104,SRX2017929,hg19,lncap
27105,SRX2017930,hg19,lncap
27106,SRX2017931,hg19,lncap
27107,SRX2017932,hg19,lncap
27108,SRX2017933,hg19,lncap
27109,SRX2017934,hg19,lncap
27110,SRX2017935,hg19,lncap
27111,SRX2017936,hg19,22rv1
27112,SRX2017937,hg19,22rv1
27113,SRX2017938,hg19,22rv1
27114,SRX2017939,hg19,22rv1
27116,SRX2017940,hg19,22rv1
27117,SRX2017941,hg19,22rv1
27118,SRX2017942,hg19,22rv1
27119,SRX2017943,hg19,22rv1
27120,SRX2017944,hg19,22rv1
27121,SRX2017945,hg19,22rv1
27122,SRX2017946,hg19,lncap
27123,SRX2017947,hg19,lncap
27124,SRX2017948,hg19,22rv1
27125,SRX2017949,hg19,22rv1
27191,SRX2020842,hg19,hcc70
27192,SRX2020843,hg19,hcc70
27197,SRX2020848,hg19,hcc1143
27198,SRX2020849,hg19,hcc1143
27203,SRX2020854,hg19,hcc70
27204,SRX2020855,hg19,hcc70
27209,SRX2020860,hg19,hcc1143
27210,SRX2020861,hg19,hcc1143
27211,SRX2022904,hg19,jurkat
27212,SRX2022905,hg19,jurkat
27213,SRX2022906,hg19,jurkat
27214,SRX2022907,hg19,jurkat
27215,SRX2022908,hg19,jurkat
27216,SRX2022909,hg19,jurkat
27217,SRX2022910,hg19,jurkat
27218,SRX2022911,hg19,jurkat
27219,SRX2022912,hg19,jurkat
27220,SRX2022913,hg19,jurkat
27221,SRX2022914,hg19,jurkat
27222,SRX2022915,hg19,jurkat
27223,SRX2022916,hg19,jurkat
27224,SRX2022917,hg19,jurkat
27225,SRX2022918,hg19,jurkat
27226,SRX2022919,hg19,jurkat
27227,SRX2022925,hg19,hek293
27228,SRX2022926,hg19,hek293
27229,SRX2022927,hg19,hek293
27230,SRX2022928,hg19,hek293
27231,SRX2022929,hg19,hek293
27388,SRX2036527,hg19,hct116
27389,SRX2036528,hg19,hct116
27390,SRX2036529,hg19,hct116
27391,SRX2036530,hg19,hct116
27392,SRX2036531,hg19,hct116
27393,SRX2036532,hg19,hct116
27394,SRX2036533,hg19,hct116
27395,SRX2036534,hg19,hct116
27396,SRX2036535,hg19,hct116
27397,SRX2036536,hg19,hct116
27398,SRX2036537,hg19,hct116
27399,SRX2036538,hg19,hct116
27541,SRX204161,hg19,wi38
27542,SRX204162,hg19,wi38
27543,SRX204163,hg19,wi38
27544,SRX204164,hg19,wi38
27545,SRX204165,hg19,wi38
27546,SRX204166,hg19,wi38
27547,SRX204167,hg19,wi38
27548,SRX204168,hg19,wi38
27549,SRX204169,hg19,wi38
27550,SRX204170,hg19,wi38
27551,SRX204171,hg19,wi38
27552,SRX204172,hg19,wi38
27553,SRX204173,hg19,wi38
27554,SRX204174,hg19,wi38
27555,SRX204175,hg19,wi38
27556,SRX204176,hg19,wi38
27557,SRX204177,hg19,wi38
27558,SRX204178,hg19,wi38
27559,SRX204179,hg19,wi38
27560,SRX204180,hg19,wi38
27586,SRX204661,hg19,h293t
27587,SRX204662,hg19,h293t
27600,SRX205070,hg19,a549
27601,SRX205071,hg19,a549
27602,SRX205072,hg19,a549
27603,SRX205073,hg19,a549
27604,SRX205074,hg19,a549
27605,SRX205075,hg19,a549
27606,SRX205076,hg19,a549
27607,SRX205077,hg19,a549
27608,SRX205078,hg19,a549
27609,SRX205079,hg19,a549
27610,SRX205080,hg19,a549
27611,SRX205081,hg19,a549
27612,SRX205082,hg19,a549
27613,SRX205083,hg19,a549
27614,SRX205084,hg19,a549
27615,SRX205085,hg19,a549
27616,SRX205086,hg19,a549
27617,SRX205087,hg19,a549
27618,SRX205088,hg19,a549
27619,SRX205089,hg19,a549
27620,SRX205090,hg19,a549
27621,SRX205091,hg19,a549
27622,SRX205092,hg19,a549
27623,SRX205093,hg19,a549
27624,SRX205094,hg19,a549
27625,SRX205095,hg19,a549
27626,SRX205096,hg19,a549
27627,SRX205097,hg19,a549
27628,SRX205098,hg19,a549
27629,SRX205099,hg19,a549
27630,SRX205100,hg19,a549
27631,SRX205101,hg19,a549
27632,SRX205102,hg19,a549
27633,SRX205103,hg19,a549
27634,SRX205104,hg19,a549
27635,SRX205105,hg19,a549
27763,SRX2060917,hg19,colorectal adenocarcinoma cell line hct116
27764,SRX2060918,hg19,colorectal adenocarcinoma cell line hct116
27765,SRX2060919,hg19,colorectal adenocarcinoma cell line hct116
27766,SRX2060920,hg19,breast carcinoma cell line mcf7
27767,SRX2060921,hg19,breast carcinoma cell line mcf7
27768,SRX2060922,hg19,breast carcinoma cell line mcf7
27769,SRX2060923,hg19,osteosarcoma cell line sjsa
27770,SRX2060924,hg19,osteosarcoma cell line sjsa
27771,SRX2060925,hg19,osteosarcoma cell line sjsa
27775,SRX2064714,hg19,hct116
27776,SRX2064715,hg19,hct116
27777,SRX2064716,hg19,hct116
27778,SRX2064717,hg19,hct116
27779,SRX2067666,hg19,rwpe1
27780,SRX2067667,hg19,rwpe1
27781,SRX2067668,hg19,rwpe1
27782,SRX2067669,hg19,rwpe1
27783,SRX2067670,hg19,rwpe1
27784,SRX2067986,hg19,du145
27785,SRX2067987,hg19,du145
27786,SRX2067988,hg19,du145
27789,SRX206838,hg19,du145 prostate cancer cells
27790,SRX206839,hg19,du145 prostate cancer cells
27791,SRX206840,hg19,du145 prostate cancer cells
27792,SRX206841,hg19,du145 prostate cancer cells
27793,SRX206842,hg19,du145 prostate cancer cells
27794,SRX206843,hg19,du145 prostate cancer cells
27795,SRX2069759,hg19,tmd8
27796,SRX2069760,hg19,tmd8
27797,SRX2069761,hg19,tmd8
27798,SRX2069762,hg19,tmd8
27799,SRX208484,hg19,imr90
27800,SRX208485,hg19,imr90
27801,SRX208486,hg19,imr90
27802,SRX208487,hg19,imr90
27816,SRX209130,hg19,hek293t
27817,SRX209131,hg19,hek293t
27818,SRX209132,hg19,hek293t
27819,SRX209133,hg19,hek293t
27824,SRX210696,hg19,hela s3
27825,SRX210697,hg19,hela s3
27826,SRX210698,hg19,hela s3
27827,SRX210699,hg19,hela s3
27828,SRX210700,hg19,ecenh3 hela s3
27829,SRX210701,hg19,ecenh3 hela s3
27830,SRX210702,hg19,ecenh3 hela s3
27831,SRX210703,hg19,ecenh3 hela s3
27832,SRX210718,hg19,hek293t
27833,SRX210719,hg19,hek293t
27834,SRX210720,hg19,hek293t
27892,SRX212375,hg19,ep156t cells
27893,SRX212376,hg19,ept1 cells
27964,SRX212683,hg19,imr90
27965,SRX212684,hg19,imr90
27966,SRX212685,hg19,h1
27967,SRX212686,hg19,h1
28000,SRX213628,hg19,hela
28001,SRX213629,hg19,hela
28002,SRX213866,hg19,lncap prostate cancer cells
28003,SRX213867,hg19,lncap prostate cancer cells
28004,SRX213868,hg19,lncap prostate cancer cells
28005,SRX213869,hg19,lncap prostate cancer cells
28006,SRX213870,hg19,lncap prostate cancer cells
28007,SRX213871,hg19,lncap prostate cancer cells
28008,SRX213872,hg19,lncap prostate cancer cells
28009,SRX213873,hg19,lncap prostate cancer cells
28010,SRX213874,hg19,mcf7
28011,SRX213875,hg19,mcf7
28061,SRX2143791,hg19,ht1080
28062,SRX2143792,hg19,ht1080
28063,SRX2143793,hg19,ht1080
28064,SRX2143794,hg19,ht1080
28065,SRX2143795,hg19,ht1080
28066,SRX2143796,hg19,ht1080
28105,SRX2148696,hg19,hct116
28106,SRX2148697,hg19,hct116
28107,SRX2148698,hg19,hct116
28108,SRX2148699,hg19,hct116
28109,SRX2148700,hg19,hct116
28110,SRX2148701,hg19,hct116
28111,SRX2148702,hg19,hct116
28119,SRX2156831,hg19,hct116
28120,SRX2156834,hg19,panc1
28121,SRX2156835,hg19,panc1
28122,SRX2156836,hg19,panc1
28123,SRX2156841,hg19,panc1
28124,SRX2156842,hg19,panc1
28125,SRX2156843,hg19,panc1
28126,SRX2156844,hg19,panc1
28127,SRX2156846,hg19,hct116
28128,SRX2156847,hg19,hct116
28129,SRX2156848,hg19,hct116
28130,SRX2156849,hg19,hct116
28146,SRX2156865,hg19,dohh2
28147,SRX2156866,hg19,dohh2
28152,SRX2156878,hg19,sudhl6
28153,SRX2156879,hg19,sudhl6
28158,SRX2156887,hg19,hct116
28159,SRX2156888,hg19,hct116
28168,SRX2156909,hg19,sudhl6
28169,SRX2156910,hg19,sudhl6
28170,SRX2156913,hg19,dohh2
28171,SRX2156914,hg19,dohh2
28185,SRX2156938,hg19,dohh2
28186,SRX2156939,hg19,dohh2
28189,SRX2156942,hg19,sudhl6
28190,SRX2156943,hg19,sudhl6
28193,SRX2156946,hg19,sudhl6
28194,SRX2156947,hg19,sudhl6
28195,SRX2156948,hg19,sudhl6
28196,SRX2156949,hg19,sudhl6
28213,SRX2156987,hg19,sudhl6
28214,SRX2156988,hg19,sudhl6
28215,SRX2156989,hg19,sudhl6
28216,SRX2156990,hg19,sudhl6
28217,SRX2156991,hg19,dohh2
28218,SRX2156992,hg19,dohh2
28219,SRX2157009,hg19,dohh2
28220,SRX2157010,hg19,dohh2
28221,SRX2157011,hg19,dohh2
28222,SRX2157012,hg19,dohh2
28225,SRX2157023,hg19,dohh2
28226,SRX2157024,hg19,dohh2
28227,SRX2157025,hg19,hct116
28228,SRX2157026,hg19,hct116
28275,SRX2158985,hg19,hela
28276,SRX2158986,hg19,hela
28277,SRX2158987,hg19,hela
28278,SRX2160033,hg19,nccit
28279,SRX2160034,hg19,nccit
28280,SRX2160035,hg19,nccit
28281,SRX2160036,hg19,nccit
28282,SRX2160037,hg19,nccit
28297,SRX2161993,hg19,k562
28298,SRX2161994,hg19,k562
28299,SRX2161995,hg19,k562
28300,SRX2161996,hg19,k562
28322,SRX2166004,hg19,koptk1
28323,SRX2166005,hg19,loucy
28324,SRX2166006,hg19,molt4
28328,SRX2166010,hg19,be2c
28401,SRX2170312,hg19,koptk1
28420,SRX217737,hg19,hct116 cells
28421,SRX217738,hg19,hct116 cells
28422,SRX217739,hg19,hct116 cells
28423,SRX217740,hg19,hct116 cells
28424,SRX2178947,hg19,hek293
28425,SRX2178948,hg19,hek293
28426,SRX2178949,hg19,hek293
28427,SRX218217,hg19,k562 cells
28428,SRX218218,hg19,k562 cells
28433,SRX218219,hg19,k562 cells
28434,SRX218220,hg19,k562 cells
28435,SRX218221,hg19,k562 cells
28436,SRX218222,hg19,k562 cells
28437,SRX218223,hg19,k562 cells
28438,SRX218224,hg19,k562 cells
28439,SRX218225,hg19,k562 cells
28440,SRX218226,hg19,k562 cells
28441,SRX218227,hg19,k562 cells
28442,SRX218228,hg19,k562 cells
28443,SRX218229,hg19,k562 cells
28444,SRX218230,hg19,k562 cells
28470,SRX2187575,hg19,hek 294t
28471,SRX2188670,hg19,tc32
28472,SRX2188671,hg19,tc32
28473,SRX2188672,hg19,tc32
28474,SRX2188673,hg19,tc32
28475,SRX2188674,hg19,tc32
28476,SRX2188675,hg19,tc32
28477,SRX2188676,hg19,ews502
28478,SRX2188677,hg19,ews502
28479,SRX2188678,hg19,ews502
28480,SRX2188679,hg19,ews502
28481,SRX2188680,hg19,ews502
28482,SRX2188681,hg19,ews502
28483,SRX2188682,hg19,imr90
28484,SRX2188683,hg19,imr90
28485,SRX2188684,hg19,imr90
28486,SRX2188685,hg19,imr90
28487,SRX2188686,hg19,imr90
28488,SRX2188687,hg19,imr90
28489,SRX2188688,hg19,u2os
28490,SRX2188689,hg19,u2os
28491,SRX2188690,hg19,u2os
28492,SRX2188691,hg19,u2os
28493,SRX2188692,hg19,u2os
28494,SRX2188693,hg19,u2os
28495,SRX219284,hg19,lncap
28496,SRX219285,hg19,lncap
28504,SRX2194231,hg19,sum159 breast carcinoma cell line
28505,SRX2194232,hg19,sum159 breast carcinoma cell line
28506,SRX2194233,hg19,sum159 breast carcinoma cell line
28507,SRX2194234,hg19,sum159 breast carcinoma cell line
28508,SRX2194235,hg19,sum159 breast carcinoma cell line
28509,SRX2194236,hg19,sum159 breast carcinoma cell line
28510,SRX2194237,hg19,sum159 breast carcinoma cell line
28511,SRX2194238,hg19,sum159 breast carcinoma cell line
28512,SRX2194239,hg19,sum159 breast carcinoma cell line
28513,SRX2194240,hg19,sum159 breast carcinoma cell line
28514,SRX2194241,hg19,sum159 breast carcinoma cell line
28515,SRX2194242,hg19,sum159 breast carcinoma cell line
28516,SRX2194243,hg19,sum159 breast carcinoma cell line
28517,SRX2194244,hg19,sum159 breast carcinoma cell line
28518,SRX2194245,hg19,sum159 breast carcinoma cell line
28519,SRX2194246,hg19,sum159 breast carcinoma cell line
28520,SRX2194247,hg19,sum159 breast carcinoma cell line
28521,SRX2194248,hg19,sum159 breast carcinoma cell line
28522,SRX2194249,hg19,sum159 breast carcinoma cell line
28523,SRX2194250,hg19,sum159 breast carcinoma cell line
28524,SRX2194251,hg19,sum159 breast carcinoma cell line
28525,SRX2194252,hg19,sum159 breast carcinoma cell line
28526,SRX2194253,hg19,sum159 breast carcinoma cell line
28527,SRX2194254,hg19,sum159 breast carcinoma cell line
28528,SRX2194255,hg19,sum159 breast carcinoma cell line
28529,SRX2194256,hg19,hcc1806 breast carcinoma cell line
28530,SRX2194257,hg19,hcc1806 breast carcinoma cell line
28531,SRX2194258,hg19,hcc1806 breast carcinoma cell line
28532,SRX2194259,hg19,hcc1806 breast carcinoma cell line
28533,SRX2194260,hg19,hcc1806 breast carcinoma cell line
28534,SRX2194261,hg19,sum159 breast carcinoma cell line
28535,SRX2194262,hg19,sum159 breast carcinoma cell line
28536,SRX2194263,hg19,sum159 breast carcinoma cell line
28537,SRX2194264,hg19,sum159 breast carcinoma cell line
28538,SRX2194265,hg19,sum159 breast carcinoma cell line
28539,SRX2194266,hg19,sum159 breast carcinoma cell line
28540,SRX2194267,hg19,sum159 breast carcinoma cell line
28541,SRX2194268,hg19,sum159 breast carcinoma cell line
28542,SRX2194269,hg19,sum159 breast carcinoma cell line
28543,SRX2194270,hg19,sum159 breast carcinoma cell line
28544,SRX2194271,hg19,sum159 breast carcinoma cell line
28545,SRX2194272,hg19,sum159 breast carcinoma cell line
28546,SRX2194273,hg19,sum159 breast carcinoma cell line
28547,SRX2194274,hg19,sum159 breast carcinoma cell line
28548,SRX2194275,hg19,sum159 breast carcinoma cell line
28549,SRX2194276,hg19,sum159 breast carcinoma cell line
28550,SRX2194277,hg19,sum159 breast carcinoma cell line
28551,SRX2194278,hg19,sum159 breast carcinoma cell line
28552,SRX2194279,hg19,sum159 breast carcinoma cell line
28553,SRX2194280,hg19,sum159 breast carcinoma cell line
28554,SRX2194281,hg19,sum159 breast carcinoma cell line
28555,SRX2194282,hg19,sum159 breast carcinoma cell line
28556,SRX2194283,hg19,sum159 breast carcinoma cell line
28557,SRX2194284,hg19,sum159 breast carcinoma cell line
28558,SRX2194285,hg19,sum159 breast carcinoma cell line
28570,SRX219988,hg19,lncap
28571,SRX219989,hg19,lncap
28572,SRX220000,hg19,lncap
28573,SRX220001,hg19,lncap
28626,SRX220827,hg19,imr90
28627,SRX220828,hg19,imr90
28628,SRX220829,hg19,imr90
28629,SRX220830,hg19,imr90
28657,SRX222272,hg19,prostate cancer cell line
28658,SRX222273,hg19,prostate cancer cell line
28659,SRX222274,hg19,prostate cancer cell line overexpressing era
28660,SRX222275,hg19,prostate cancer cell line
28661,SRX222276,hg19,prostate cancer cell line
28662,SRX2233740,hg19,hela
28663,SRX2233741,hg19,hela
28664,SRX2233742,hg19,hela
28665,SRX2233743,hg19,hela
28666,SRX2233744,hg19,hela
28667,SRX2233745,hg19,hela
28668,SRX2234299,hg19,hek293t
28669,SRX2236970,hg19,u2os
28670,SRX2236971,hg19,u2os
28671,SRX2236972,hg19,u2os
28672,SRX2236973,hg19,u2os
28673,SRX2236974,hg19,u2os
28674,SRX2236975,hg19,u2os
28675,SRX2236976,hg19,u2os
28676,SRX2236977,hg19,imr90
28677,SRX2236978,hg19,imr90
28678,SRX2236979,hg19,imr90
28723,SRX2245441,hg19,miapaca2 clonal cell line
28725,SRX2245491,hg19,k562
28726,SRX2245492,hg19,k562
28727,SRX2245493,hg19,k562
28728,SRX2245494,hg19,k562
28736,SRX2245525,hg19,k562
28737,SRX2245526,hg19,k562
28738,SRX2245527,hg19,k562
28739,SRX2245528,hg19,k562
28740,SRX2245529,hg19,k562
28791,SRX2254515,hg19,ags
28792,SRX2254516,hg19,bhy
28793,SRX2254517,hg19,bicr16
28794,SRX2254518,hg19,bicr31
28795,SRX2254519,hg19,bicr6
28796,SRX2254520,hg19,cal33
28797,SRX2254521,hg19,detroit562
28798,SRX2254522,hg19,gsu
28799,SRX2254529,hg19,hsc4
28800,SRX2254530,hg19,katoiii
28801,SRX2254531,hg19,te10
28802,SRX2254532,hg19,te6
28803,SRX2254533,hg19,tt
28804,SRX2254534,hg19,yd8
28805,SRX2254535,hg19,bicr31
28806,SRX2254544,hg19,hek293t
28807,SRX2254546,hg19,bicr31
28816,SRX2255894,hg19,hek293
28817,SRX2255895,hg19,hek293
28818,SRX2255896,hg19,hek293
28819,SRX2255897,hg19,hek293
28820,SRX2255898,hg19,hek293
28821,SRX2255899,hg19,hek293
28822,SRX2255900,hg19,hek293
28823,SRX2255901,hg19,hek293
28854,SRX2263475,hg19,293t
28855,SRX2263476,hg19,293t
28856,SRX2263477,hg19,293t
28857,SRX2263478,hg19,293t
28858,SRX2263479,hg19,293t
28859,SRX2263480,hg19,293t
28883,SRX2267438,hg19,a375
28884,SRX2267439,hg19,a375
28885,SRX2267440,hg19,a375
28886,SRX2267441,hg19,a375
28887,SRX2267442,hg19,a549
28888,SRX2267443,hg19,a549
28889,SRX2267444,hg19,a549
28890,SRX2267445,hg19,a549
28891,SRX2267446,hg19,h3122
28892,SRX2267447,hg19,h3122
28893,SRX2267448,hg19,h3122
28894,SRX2267449,hg19,h3122
28895,SRX2267450,hg19,n87
28896,SRX2267451,hg19,n87
28897,SRX2267452,hg19,n87
28898,SRX2267453,hg19,n87
28899,SRX2267454,hg19,pc9
28900,SRX2267455,hg19,pc9
28901,SRX2267456,hg19,pc9
28902,SRX2267457,hg19,pc9
28903,SRX2267458,hg19,pc9
28904,SRX2267459,hg19,pc9
28905,SRX2267460,hg19,rt112
28906,SRX2267461,hg19,rt112
28907,SRX2267462,hg19,rt112
28908,SRX2267463,hg19,rt112
28909,SRX2267464,hg19,a375
28910,SRX2267465,hg19,a375
28911,SRX2267466,hg19,a375
28912,SRX2267467,hg19,a375
28913,SRX2267468,hg19,a549
28914,SRX2267469,hg19,a549
28915,SRX2267470,hg19,a549
28916,SRX2267471,hg19,a549
28917,SRX2267472,hg19,h3122
28918,SRX2267473,hg19,h3122
28919,SRX2267474,hg19,h3122
28920,SRX2267475,hg19,h3122
28921,SRX2267476,hg19,n87
